"","valor_beta","valor_muB","valor_muE","valor_muI","valor_rho","maximo","tiempo_maximo","tiempo_mayor_infectados","parasitemia_en_valor_maximo"
"1",69.445,42.22,31.915,78.735,88.13,861445535.115184,0.001,0.001,100
"2",53.255,59.4,0.325,2.05,74.395,890845494.50762,0.03,0.026,99.9999999999999
"3",2.53,27.525,24.85,54.27,96.31,879272409.890713,0.001,0.001,100
"4",99.41,1.95,86.99,87.845,39.82,764036371.949023,0.002,0.002,100
"5",30.585,21.465,9.63,85.59,78.88,869455176.068494,0.001,0.001,100
"6",97.635,86.6,27.955,19.48,96.4,844860766.818328,0.003,0.003,100
"7",0.61,76.79,99.955,92.29,59.495,NA,NA,0.001,NA
"8",14.985,83.895,5.05,62.19,76.245,892601200.860645,0.001,0.001,100
"9",8.345,87.91,29.85,76.485,42.66,821751944.971717,0.002,0.002,100
"10",50.4,43.17,26.305,20.855,0.405,1e+07,0,0.291,1.0989010989011
"11",65.975,37.145,95.14,29.275,81.9,780848077.247709,0.002,0.002,100
"12",58.655,14.185,38.665,31.545,61.585,817248091.385355,0.003,0.002,100
"13",13.035,67.78,88.44,94.54,33.715,758327695.693587,0.002,0.002,100
"14",19.96,82.205,81.605,4.045,32.39,206129412.036667,0.024,0.02,100
"15",66.505,14.42,97.59,63.86,51.07,772492173.942323,0.002,0.002,100
"16",6.54,15.76,92.455,22.43,30.355,557580526.871129,0.007,0.006,100
"17",97.52,53.455,29.515,97.89,39.14,797511385.44297,0.002,0.002,100
"18",11.215,56.245,85.12,40.095,97.88,806936119.842751,0.002,0.001,100
"19",30.2,59.605,3.245,18.49,69.18,881736913.666535,0.004,0.004,100
"20",67.84,24.83,49.07,19.08,53.085,747217747.137388,0.005,0.004,100
"21",12.86,65.7,77.29,95.425,72.52,834864713.267759,0.001,0.001,100
"22",70.4,77.8,8.155,52.085,99.6,890160785.274331,0.001,0.001,100
"23",96.92,90.865,48.765,92.13,78.385,847738918.466093,0.001,0.001,100
"24",16.415,97.36,61.68,95.395,75.79,840955581.008144,0.001,0.001,100
"25",30.205,73.05,8.3,82.61,9.01,749927871.71417,0.007,0.006,100
"26",13.465,49.33,52.095,38.94,3.255,179972418.368184,0.033,0.028,100
"27",0.595,6.15,66.255,74.38,18.155,690368514.286863,0.004,0.003,100
"28",51.405,15.88,43.62,86.355,87.98,851496840.989206,0.001,0.001,100
"29",56.255,2.555,30.625,6.17,83.6,733246997.105429,0.009,0.008,100
"30",89.45,65.465,16.585,65.55,31.675,813684014.340643,0.003,0.002,100
"31",17.765,64.44,66.125,44.245,55.2,807259483.89832,0.002,0.002,100
"32",68.655,89.29,23.815,40.535,5.2,483496707.383173,0.023,0.02,100
"33",84.71,22.24,36.185,12.24,42.83,698197618.624074,0.009,0.008,100
"34",28.51,26.82,37.135,77.585,98.38,858004207.422467,0.001,0.001,100
"35",56.625,10.995,71.555,62.97,21.67,691958965.281771,0.004,0.003,100
"36",54.73,64.895,28.61,39.63,74.66,851793291.911551,0.002,0.002,100
"37",18.72,41.415,83.625,34.04,79.405,797723125.019117,0.002,0.002,100
"38",52.585,29.575,47.545,24.875,33.06,712912463.434829,0.006,0.005,100
"39",69.23,84.525,41.505,62.225,19.82,753389138.323512,0.004,0.004,100
"40",95.085,40.46,24.545,59.39,30.03,816690995.049146,0.003,0.003,100
"41",80.4,36.2,73.645,77.06,62.61,844613315.047485,0.001,0.001,100
"42",75.135,19.295,26.985,71.56,10.89,698532617.737641,0.006,0.006,95.4139746962876
"43",40.775,18.72,18.46,71.98,95.595,870477716.330255,0.001,0.001,100
"44",14.02,28.635,6.12,49.65,85.71,854477339.495016,0.002,0.001,100
"45",18.355,59.055,76.88,60.505,79.07,846339519.125182,0.001,0.001,100
"46",53.05,53.795,59.75,48.94,94.69,859461244.929718,0.001,0.001,100
"47",9.33,7.315,65.575,58.7,50.02,802566615.307423,0.002,0.002,100
"48",25.39,29.795,45.12,39.915,36.4,766018643.30841,0.004,0.003,100
"49",25.15,43.405,19.445,19.34,24.22,749386820.291686,0.01,0.009,100
"50",47.465,55.35,72.135,69.2,1.165,18525980.6504962,0.054,0.046,96.7381620851126
"51",37.19,7.8,23.475,71.08,88.295,870662248.727607,0.001,0.001,100
"52",7.18,6.455,27.3,41.2,92.06,848943050.923471,0.002,0.002,100
"53",74.66,79.09,2.92,49.825,19.27,848898370.102103,0.005,0.005,100
"54",21.355,85.9,42.435,61.78,66.645,817702703.102393,0.002,0.001,100
"55",24.34,53.845,78.87,80.755,68.905,840404217.60293,0.001,0.001,100
"56",96.17,47.075,43.225,97.02,21.88,745179910.817052,0.003,0.002,100
"57",9.52,83.585,60.865,45.8,55.89,813399231.257918,0.002,0.002,100
"58",67.48,29.8,7.655,74.9,68.535,884662737.49151,0.001,0.001,100
"59",21.055,70.825,17.205,86.87,59.04,875660348.35177,0.001,0.001,99.9999999999999
"60",65.7,89.14,53.585,35.6,1.86,55539842.4871575,0.056,0.047,97.3895711107746
"61",49.07,73.33,35.1,18.835,91.555,832130372.97726,0.003,0.003,100
"62",89.725,74.5,41.21,73.155,58.14,807350884.112669,0.002,0.001,100
"63",46.38,7.12,33.345,39.015,30.48,791750153.031325,0.004,0.004,100
"64",4.335,19.965,21.52,83.67,47.6,813878930.064855,0.002,0.001,100
"65",68.035,76.325,40.875,40.97,95.755,838479271.009111,0.002,0.001,100
"66",64.32,68.2,33.795,47.46,87.79,837237598.972162,0.002,0.001,100
"67",34.825,32.895,43,40.6,6.445,428697361.069278,0.017,0.015,97.0010263453665
"68",62.78,11.495,92.04,1.85,73.985,196695653.831697,0.023,0.018,100
"69",71.88,65.995,25.675,27.38,52.005,819050739.374718,0.004,0.003,100
"70",60.825,82.46,6.65,75.47,48.015,837568119.369835,0.002,0.002,100
"71",5.59,71.335,9.935,73.63,73.095,881763899.950311,0.001,0.001,100
"72",85.285,23.425,4.995,59.17,46.76,867180291.484711,0.002,0.002,99.9999999999999
"73",16.68,59.365,94.73,22.925,76.43,738968700.752193,0.003,0.003,100
"74",79.025,41.785,45.63,51.795,61.64,826059297.329606,0.002,0.002,100
"75",77.485,61.39,37.91,23.835,68.77,822147769.1445,0.003,0.003,100
"76",94.39,27.605,46.85,19.675,82.02,809130612.642548,0.003,0.003,100
"77",23.145,0.35,53.81,24.61,51.86,762028685.630257,0.004,0.003,100
"78",23.68,68.02,56.155,35.15,10.41,492247848.808498,0.012,0.01,100
"79",77.61,45.99,25.11,96.57,27.015,828076149.576645,0.002,0.002,100
"80",20,75.685,68.145,52.26,78.645,808643332.53204,0.002,0.001,100
"81",60.1,22.87,42.775,4.92,82.86,636795640.524655,0.011,0.009,100
"82",92.735,48.125,78.005,84.91,94.5,838460500.47382,0.001,0.001,100
"83",75.665,0.67,72.46,41.675,40.995,754404490.87742,0.003,0.003,100
"84",69.09,72.705,30.375,34.935,74.96,853816559.606786,0.002,0.002,100
"85",35.1,55.985,55.565,59.67,20.26,725425518.441796,0.004,0.004,100
"86",62.475,46.825,20.265,9.31,81.01,818162426.648589,0.006,0.005,100
"87",36.915,84.035,16.34,15.38,85.565,853509848.764816,0.004,0.003,100
"88",18.435,67.09,24.795,89.31,4.41,524119802.883199,0.013,0.012,93.9276977196269
"89",38.97,92.15,87.43,39.56,69.28,791335936.108429,0.002,0.002,100
"90",20.65,46.775,86.575,60,30.61,722785005.249994,0.003,0.003,100
"91",46.64,5.53,30.495,70.245,69.805,873012731.067297,0.001,0.001,100
"92",53.735,11.95,83.6,87.79,95.155,834991663.3417,0.001,0.001,100
"93",40.96,31.2,88.895,72.145,98.8,839696320.050819,0.001,0.001,100
"94",34.18,3.84,85.67,89.185,60.875,834256586.458037,0.001,0.001,100
"95",97.985,61.05,91.09,55.44,0.8,1e+07,0,0.051,1.0989010989011
"96",73.635,74.02,45.56,10.055,45.755,637785155.302275,0.01,0.008,100
"97",19.565,5,35.225,87,67.105,860848067.295641,0.001,0.001,100
"98",66.805,81.045,14,48.165,41.51,837172849.665245,0.003,0.002,100
"99",14.445,37.225,87.625,20.485,57.015,691307302.954868,0.004,0.004,100
"100",36.215,84.24,56,65.86,37.27,809098508.324196,0.002,0.002,100
"101",98.815,61.74,20.885,18.185,64,839285206.546622,0.004,0.004,100
"102",29.825,45.085,26.005,32.395,24.555,770903229.627426,0.006,0.005,100
"103",88.065,39.345,16.9,30.96,97.525,869562587.549071,0.002,0.002,100
"104",72.655,11.115,8.605,35.915,99.025,870300435.582935,0.002,0.002,100
"105",50.455,57.025,89.84,93.345,53.88,830938201.601501,0.001,0.001,100
"106",95.325,35.285,28.44,55.325,21.045,792440578.155437,0.004,0.004,100
"107",70.055,99.34,62.59,94.165,94.04,838719163.038965,0.001,0.001,100
"108",99.17,49.97,81.365,24.435,90.98,793402553.780976,0.002,0.002,100
"109",52.31,3.08,94.93,44.155,27.97,663133938.684456,0.004,0.003,100
"110",39.78,63.965,90.755,9.165,65.18,554855506.278433,0.007,0.006,100
"111",40.305,62.49,20.74,65.005,67.8,828083937.517611,0.002,0.001,100
"112",65.545,89.985,30.06,79.705,51.21,810234344.304142,0.002,0.001,100
"113",92.84,60.97,98.83,10.41,15.955,203195178.615297,0.02,0.016,100
"114",79.43,83.28,36.54,7.44,11.775,267588058.488788,0.042,0.034,100
"115",50.605,63.045,3.57,42.02,28.835,862873533.627775,0.004,0.004,100
"116",18.865,29.365,56.72,14.045,48.495,668973903.703654,0.007,0.006,100
"117",71.725,10.335,52.34,75.32,6.67,506718371.701889,0.01,0.008,100
"118",42.895,51.21,46.42,43.695,58.66,830737459.527774,0.002,0.002,100
"119",42.62,28.07,74.68,9.41,79.955,647192882.229396,0.006,0.005,100
"120",86.985,15.195,37.365,30.21,32.755,762869394.255278,0.005,0.004,100
