"","gamma","muB","muE","muI","rho"
"1",69.445,42.22,31.915,78.735,88.13
"2",53.255,59.4,0.325,2.05,74.395
"3",2.53,27.525,24.85,54.27,96.31
"4",99.41,1.95,86.99,87.845,39.82
"5",30.585,21.465,9.63,85.59,78.88
"6",97.635,86.6,27.955,19.48,96.4
"7",0.61,76.79,99.955,92.29,59.495
"8",14.985,83.895,5.05,62.19,76.245
"9",8.345,87.91,29.85,76.485,42.66
"10",50.4,43.17,26.305,20.855,0.405
"11",65.975,37.145,95.14,29.275,81.9
"12",58.655,14.185,38.665,31.545,61.585
"13",13.035,67.78,88.44,94.54,33.715
"14",19.96,82.205,81.605,4.045,32.39
"15",66.505,14.42,97.59,63.86,51.07
"16",6.54,15.76,92.455,22.43,30.355
"17",97.52,53.455,29.515,97.89,39.14
"18",11.215,56.245,85.12,40.095,97.88
"19",30.2,59.605,3.245,18.49,69.18
"20",67.84,24.83,49.07,19.08,53.085
"21",12.86,65.7,77.29,95.425,72.52
"22",70.4,77.8,8.155,52.085,99.6
"23",96.92,90.865,48.765,92.13,78.385
"24",16.415,97.36,61.68,95.395,75.79
"25",30.205,73.05,8.3,82.61,9.01
"26",13.465,49.33,52.095,38.94,3.255
"27",0.595,6.15,66.255,74.38,18.155
"28",51.405,15.88,43.62,86.355,87.98
"29",56.255,2.555,30.625,6.17,83.6
"30",89.45,65.465,16.585,65.55,31.675
"31",17.765,64.44,66.125,44.245,55.2
"32",68.655,89.29,23.815,40.535,5.2
"33",84.71,22.24,36.185,12.24,42.83
"34",28.51,26.82,37.135,77.585,98.38
"35",56.625,10.995,71.555,62.97,21.67
"36",54.73,64.895,28.61,39.63,74.66
"37",18.72,41.415,83.625,34.04,79.405
"38",52.585,29.575,47.545,24.875,33.06
"39",69.23,84.525,41.505,62.225,19.82
"40",95.085,40.46,24.545,59.39,30.03
"41",80.4,36.2,73.645,77.06,62.61
"42",75.135,19.295,26.985,71.56,10.89
"43",40.775,18.72,18.46,71.98,95.595
"44",14.02,28.635,6.12,49.65,85.71
"45",18.355,59.055,76.88,60.505,79.07
"46",53.05,53.795,59.75,48.94,94.69
"47",9.33,7.315,65.575,58.7,50.02
"48",25.39,29.795,45.12,39.915,36.4
"49",25.15,43.405,19.445,19.34,24.22
"50",47.465,55.35,72.135,69.2,1.165
"51",37.19,7.8,23.475,71.08,88.295
"52",7.18,6.455,27.3,41.2,92.06
"53",74.66,79.09,2.92,49.825,19.27
"54",21.355,85.9,42.435,61.78,66.645
"55",24.34,53.845,78.87,80.755,68.905
"56",96.17,47.075,43.225,97.02,21.88
"57",9.52,83.585,60.865,45.8,55.89
"58",67.48,29.8,7.655,74.9,68.535
"59",21.055,70.825,17.205,86.87,59.04
"60",65.7,89.14,53.585,35.6,1.86
"61",49.07,73.33,35.1,18.835,91.555
"62",89.725,74.5,41.21,73.155,58.14
"63",46.38,7.12,33.345,39.015,30.48
"64",4.335,19.965,21.52,83.67,47.6
"65",68.035,76.325,40.875,40.97,95.755
"66",64.32,68.2,33.795,47.46,87.79
"67",34.825,32.895,43,40.6,6.445
"68",62.78,11.495,92.04,1.85,73.985
"69",71.88,65.995,25.675,27.38,52.005
"70",60.825,82.46,6.65,75.47,48.015
"71",5.59,71.335,9.935,73.63,73.095
"72",85.285,23.425,4.995,59.17,46.76
"73",16.68,59.365,94.73,22.925,76.43
"74",79.025,41.785,45.63,51.795,61.64
"75",77.485,61.39,37.91,23.835,68.77
"76",94.39,27.605,46.85,19.675,82.02
"77",23.145,0.35,53.81,24.61,51.86
"78",23.68,68.02,56.155,35.15,10.41
"79",77.61,45.99,25.11,96.57,27.015
"80",20,75.685,68.145,52.26,78.645
"81",60.1,22.87,42.775,4.92,82.86
"82",92.735,48.125,78.005,84.91,94.5
"83",75.665,0.67,72.46,41.675,40.995
"84",69.09,72.705,30.375,34.935,74.96
"85",35.1,55.985,55.565,59.67,20.26
"86",62.475,46.825,20.265,9.31,81.01
"87",36.915,84.035,16.34,15.38,85.565
"88",18.435,67.09,24.795,89.31,4.41
