"","V1","V2","V3","V4","V5","V6"
"1","beta",0,1e+07,0,NA,1.11111111111111
"2","beta",0.1,851942303.507781,0.073,0.062,-13648591672080828416
"3","beta",0.2,851942066.672151,0.073,0.062,1146741046118924800
"4","beta",0.3,851942129.956959,0.073,0.062,504437089570379008
"5","beta",0.4,851941936.985058,0.073,0.062,3.3441696119876e+19
"6","beta",0.5,851941919.042025,0.073,0.062,-20277382618198331392
"7","beta",0.6,851941904.499539,0.073,0.062,5207545791834976256
"8","beta",0.7,851941891.72542,0.073,0.062,3824164062577880064
"9","beta",0.8,851941885.654473,0.073,0.062,-508476640210419520
"10","beta",0.9,851941813.694106,0.073,0.062,2086036733459251712
"11","beta",1,851941863.748193,0.073,0.062,-630214905084369920
"12","beta",1.1,851941859.259912,0.073,0.062,4098393976626937856
"13","beta",1.2,851941856.219639,0.073,0.062,1719616755326508288
"14","beta",1.3,851941851.285167,0.073,0.062,-1387249056344720896
"15","beta",1.4,851941849.327384,0.073,0.062,2646302170619662336
"16","beta",1.5,851941847.088892,0.073,0.062,13052223053738438656
"17","beta",1.6,851941869.51951,0.073,0.062,10274870353063940096
"18","beta",1.7,851941883.074335,0.073,0.062,-1352746885162919424
"19","beta",1.8,851941843.813933,0.073,0.062,12231245223286480896
"20","beta",1.9,851941936.890557,0.073,0.062,-2766615743559449600
"21","beta",2,851941958.732811,0.073,0.062,11416459165096912896
"22","beta",2.1,851941881.511637,0.073,0.062,5174368182782601216
"23","beta",2.2,851941864.228151,0.073,0.062,1851743450631847680
"24","beta",2.3,851941850.747942,0.073,0.062,130311513908751520
"25","beta",2.4,851941873.433403,0.073,0.062,6325486589612520448
"26","beta",2.5,851941868.625598,0.073,0.062,396077968210610624
"27","beta",2.6,851941881.409278,0.073,0.062,132698760109584224
"28","beta",2.7,851941870.685627,0.073,0.062,-1355631866252014080
"29","beta",2.8,851941871.854289,0.073,0.062,678744231845110272
"30","beta",2.9,851941909.351961,0.073,0.062,508616595371375232
"31","beta",3,851941908.624061,0.073,0.062,440258975336832512
"32","beta",3.1,851941884.395979,0.073,0.062,2754381654025937408
"33","beta",3.2,851941887.374584,0.073,0.062,6548881658369806336
"34","beta",3.3,851941885.619687,0.073,0.062,1912696218910488320
"35","beta",3.4,851941946.898946,0.073,0.062,146236971009927296
"36","beta",3.5,851941950.787215,0.073,0.062,-4963434395729811456
"37","beta",3.6,851941941.674977,0.073,0.062,195317981565280064
"38","beta",3.7,851942000.583363,0.073,0.062,-1524905119352695552
"39","beta",3.8,851941892.993011,0.073,0.062,-14508354857043894272
"40","beta",3.9,851941892.555347,0.073,0.062,-8021392865244153856
"41","beta",4,851941891.831334,0.073,0.062,228469510920564896
"42","beta",4.1,851941890.246883,0.073,0.062,434110365552211136
"43","beta",4.2,851941858.230153,0.073,0.062,3747477869188674560
"44","beta",4.3,851941816.374145,0.073,0.062,-30184574386474442752
"45","beta",4.4,851941812.73713,0.073,0.062,2465255578212725760
"46","beta",4.5,851941946.267267,0.073,0.062,293953442045238528
"47","beta",4.6,851941838.723793,0.073,0.062,1585777827578031104
"48","beta",4.7,851941853.824953,0.073,0.062,1233635006897339136
"49","beta",4.8,851941885.184284,0.073,0.062,1289395930405634560
"50","beta",4.9,851941885.079524,0.073,0.062,-1835821138472275712
"51","beta",5,851941984.680058,0.073,0.062,994796100379124352
"52","beta",5.1,851941973.113292,0.073,0.062,-5897161390107960320
"53","beta",5.2,851941976.766772,0.073,0.062,548976010909508096
"54","beta",5.3,851941843.251855,0.073,0.062,1126741648887646848
"55","beta",5.4,851941986.72572,0.073,0.062,524273613872141312
"56","beta",5.5,851941979.512776,0.073,0.062,-797881528381322240
"57","beta",5.6,851941983.754034,0.073,0.062,828531050607931008
"58","beta",5.7,851941901.850398,0.073,0.062,859260367669091456
"59","beta",5.8,851941970.500557,0.073,0.062,504665052080006016
"60","beta",5.9,851941957.680184,0.073,0.062,-574391682653352000
"61","beta",6,851941958.141432,0.073,0.062,1224945317919603968
"62","beta",6.1,851941943.625996,0.073,0.062,401296149878221824
"63","beta",6.2,851941954.05537,0.073,0.062,-570543372830653824
"64","beta",6.3,851941939.656614,0.073,0.062,1220053177199143680
